"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 15:44:18 GMT 2022","Tue Nov 29 15:44:18 GMT 2022","10","tests.tests","test_s3","","","","Read Object Content as Str for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Tue Nov 29 15:44:13 GMT 2022","Tue Nov 29 15:44:13 GMT 2022","34","tests.tests","test_s3","","","","Add file '('lines_file', 'asd\n2. ddd\nasd\n\nddd\n\n')' to path 'asd' on S3 'mybucket'",""
"passed","Tue Nov 29 15:44:11 GMT 2022","Tue Nov 29 15:44:11 GMT 2022","10","tests.tests","test_s3","","","","Get Object for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Tue Nov 29 15:44:19 GMT 2022","Tue Nov 29 15:44:19 GMT 2022","12","tests.tests","test_s3","","","","Get Object for '('mybucket', 'root_file.txt', 'asd')'",""
"passed","Tue Nov 29 15:44:12 GMT 2022","Tue Nov 29 15:44:12 GMT 2022","30","tests.tests","test_s3","","","","Add file '('one_line_file', 'asd')' to path 'asd' on S3 'mybucket'",""
"passed","Tue Nov 29 15:44:22 GMT 2022","Tue Nov 29 15:44:22 GMT 2022","30","tests.tests","test_s3","","","","Add str '' file to path 'asd' on S3 'mybucket'",""
"passed","Tue Nov 29 15:44:23 GMT 2022","Tue Nov 29 15:44:23 GMT 2022","33","tests.tests","test_s3","","","","Add str 'asd' file to path 'a/b/asd' on S3 'mybucket'",""
"passed","Tue Nov 29 15:44:17 GMT 2022","Tue Nov 29 15:44:17 GMT 2022","34","tests.tests","test_s3","","","","Add file '('a.jpg', 'asd')' to path 'asd' on S3 'mybucket'",""
"passed","Tue Nov 29 15:44:13 GMT 2022","Tue Nov 29 15:44:14 GMT 2022","35","tests.tests","test_s3","","","","Add file '('lines_file', 'asd\n2. ddd\nasd\n\nddd\n\n')' to path 'a/b/asd' on S3 'mybucket'",""
"passed","Tue Nov 29 15:44:11 GMT 2022","Tue Nov 29 15:44:11 GMT 2022","10","tests.tests","test_s3","","","","Read Object Content as Str for '('mybucket', 'a/b/c/path_file', '')'",""
"passed","Tue Nov 29 15:44:20 GMT 2022","Tue Nov 29 15:44:20 GMT 2022","14","tests.tests","test_s3","","","","Read Object Content as Str for '('mybucket', 'root_file.txt', 'asd')'",""
"passed","Tue Nov 29 15:44:21 GMT 2022","Tue Nov 29 15:44:21 GMT 2022","37","tests.tests","test_s3","","","","Add file '('a.json', 'asd')' to path 'asd' on S3 'mybucket'",""
"passed","Tue Nov 29 15:44:18 GMT 2022","Tue Nov 29 15:44:18 GMT 2022","12","tests.tests","test_s3","","","","Get Object for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Tue Nov 29 15:44:16 GMT 2022","Tue Nov 29 15:44:16 GMT 2022","36","tests.tests","test_s3","","","","Add file '('a.js', 'asd')' to path 'a/b/asd' on S3 'mybucket'",""
"passed","Tue Nov 29 15:44:22 GMT 2022","Tue Nov 29 15:44:22 GMT 2022","21","tests.tests","test_s3","","","","Add directory to path 'a/b/asd/' on S3 'mybucket'",""
"passed","Tue Nov 29 15:44:20 GMT 2022","Tue Nov 29 15:44:20 GMT 2022","11","tests.tests","test_s3","","","","Read Object Content as Str for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Tue Nov 29 15:44:14 GMT 2022","Tue Nov 29 15:44:14 GMT 2022","13","tests.tests","test_s3","","","","Read Object Content as Str for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Tue Nov 29 15:44:14 GMT 2022","Tue Nov 29 15:44:14 GMT 2022","12","tests.tests","test_s3","","","","Get Object for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Tue Nov 29 15:44:19 GMT 2022","Tue Nov 29 15:44:19 GMT 2022","12","tests.tests","test_s3","","","","Get Object for '('mybucket', 'a/b/c/path_file', 'asd')'",""
